,IdBundesland,Bundesland,Landkreis,Altersgruppe,Geschlecht,AnzahlFall,AnzahlTodesfall,ObjectId,Meldedatum,IdLandkreis,Datenstand,NeuerFall,NeuerTodesfall
112,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A15-A34,W,2,0,207953,2020-03-22,01053,24.03.2020 00:00,1,0
113,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,207954,2020-03-10,01053,24.03.2020 00:00,0,0
114,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,207955,2020-03-18,01053,24.03.2020 00:00,0,0
115,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,207956,2020-03-19,01053,24.03.2020 00:00,0,0
116,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,207957,2020-03-21,01053,24.03.2020 00:00,1,0
117,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,1,0,207958,2020-03-22,01053,24.03.2020 00:00,1,0
118,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,M,2,0,207959,2020-03-23,01053,24.03.2020 00:00,1,0
119,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,3,0,207960,2020-03-13,01053,24.03.2020 00:00,0,0
120,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,207961,2020-03-17,01053,24.03.2020 00:00,0,0
121,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,2,0,207962,2020-03-21,01053,24.03.2020 00:00,1,0
122,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,207963,2020-03-22,01053,24.03.2020 00:00,1,0
123,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A35-A59,W,1,0,207964,2020-03-23,01053,24.03.2020 00:00,1,0
124,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,207965,2020-03-13,01053,24.03.2020 00:00,0,0
125,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,207966,2020-03-16,01053,24.03.2020 00:00,0,0
126,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,M,1,0,207967,2020-03-17,01053,24.03.2020 00:00,0,0
127,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A60-A79,W,1,0,207968,2020-03-21,01053,24.03.2020 00:00,1,0
128,1,Schleswig-Holstein,LK Herzogtum Lauenburg,A80+,W,1,0,207969,2020-03-23,01053,24.03.2020 00:00,1,0
129,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,207970,2020-03-17,01053,24.03.2020 00:00,0,0
130,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,M,1,0,207971,2020-03-21,01053,24.03.2020 00:00,1,0
131,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,207972,2020-03-17,01053,24.03.2020 00:00,0,0
132,1,Schleswig-Holstein,LK Herzogtum Lauenburg,unbekannt,W,1,0,207973,2020-03-21,01053,24.03.2020 00:00,1,0
133,1,Schleswig-Holstein,LK Nordfriesland,A00-A04,M,1,0,207974,2020-03-20,01054,24.03.2020 00:00,0,0
134,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,2,0,207975,2020-03-17,01054,24.03.2020 00:00,0,0
135,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,M,1,0,207976,2020-03-18,01054,24.03.2020 00:00,0,0
136,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,207977,2020-03-17,01054,24.03.2020 00:00,0,0
137,1,Schleswig-Holstein,LK Nordfriesland,A15-A34,W,1,0,207978,2020-03-23,01054,24.03.2020 00:00,1,0
138,1,Schleswig-Holstein,LK Nordfriesland,A35-A59,M,1,0,207979,2020-03-12,01054,24.03.2020 00:00,0,0
